0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:19 +0200] "GET /camunda/api/engine/engine/default/process-definition/LogisticProcess:3:cd9ea322-8aa6-11e8-a0a0-acde48001122/xml HTTP/1.1" 200 171761
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:19 +0200] "GET /camunda/api/cockpit/plugin/cockpitEE/static/app/processDefinitionEE/delete-process-definition-action.html HTTP/1.1" 200 703
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:19 +0200] "GET /camunda/api/cockpit/plugin/cockpitEE/static/app/processDefinitionEE/cancel-process-instances-action.html HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:19 +0200] "POST /camunda/api/cockpit/plugin/base/default/process-instance/count HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:19 +0200] "POST /camunda/api/cockpit/plugin/base/default/process-instance?firstResult=0&maxResults=50&sortBy=startTime&sortOrder=desc HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:28 +0200] "GET /camunda/api/cockpit/plugin/cockpitEE/static/app/modification/diagramPlugins/badges.html HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:28 +0200] "GET /camunda/api/cockpit/plugin/cockpitEE/static/app/modification/diagramPlugins/tools.html HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:28 +0200] "GET /camunda/api/engine/engine/default/process-definition/LogisticProcess:3:cd9ea322-8aa6-11e8-a0a0-acde48001122/statistics?incidents=true HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:28 +0200] "GET /camunda/api/cockpit/plugin/cockpitEE/static/app/batch/operation/index.html HTTP/1.1" 200 17203
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:28 +0200] "POST /camunda/api/engine/engine/default/history/process-instance/count HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:28 +0200] "POST /camunda/api/engine/engine/default/history/process-instance?firstResult=0&maxResults=12 HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:30 +0200] "POST /camunda/api/engine/engine/default/history/process-instance/count HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:30 +0200] "POST /camunda/api/engine/engine/default/history/process-instance?firstResult=0&maxResults=12 HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:33 +0200] "POST /camunda/api/engine/engine/default/process-instance/delete-historic-query-based HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:34 +0200] "GET /camunda/api/engine/engine/default/process-definition/count?latest=true HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:34 +0200] "GET /camunda/api/engine/engine/default/process-definition?latest=true HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:34 +0200] "GET /camunda/api/engine/engine/default/process-definition/statistics?incidents=true HTTP/1.1" 200 4508
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:42 +0200] "GET /camunda/api/cockpit/plugin/cockpitEE/static/app/search-decisions/searchField.html HTTP/1.1" 200 4302
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:42 +0200] "GET /camunda/api/cockpit/plugin/cockpitEE/static/app/drd/dashboard.html HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:42 +0200] "GET /camunda/api/engine/engine/default/decision-definition?latestVersion=true&sortBy=name&sortOrder=asc HTTP/1.1" 200 1036
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:42 +0200] "GET /camunda/api/engine/engine/default/decision-requirements-definition?latestVersion=true&sortBy=name&sortOrder=asc HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:42 +0200] "GET /camunda/api/engine/engine/default/process-definition/count?latest=true HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:42 +0200] "GET /camunda/api/engine/engine/default/process-definition?latest=true HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:42 +0200] "GET /camunda/api/engine/engine/default/process-definition/statistics?incidents=true HTTP/1.1" 200 4508
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:45 +0200] "GET /camunda/api/engine/engine/default/process-definition/UserProcess:3:cd9db8be-8aa6-11e8-a0a0-acde48001122 HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:45 +0200] "POST /camunda/api/engine/engine/default/process-instance/count HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:45 +0200] "POST /camunda/api/engine/engine/default/process-instance/count HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:45 +0200] "GET /camunda/api/engine/engine/default/process-definition?key=UserProcess&sortBy=version&sortOrder=desc&withoutTenantId=true HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:45 +0200] "POST /camunda/api/engine/engine/default/job-definition HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:45 +0200] "GET /camunda/api/engine/engine/default/process-definition/UserProcess:3:cd9db8be-8aa6-11e8-a0a0-acde48001122/xml HTTP/1.1" 200 171757
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:45 +0200] "POST /camunda/api/cockpit/plugin/base/default/process-instance/count HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:45 +0200] "POST /camunda/api/cockpit/plugin/base/default/process-instance?firstResult=0&maxResults=50&sortBy=startTime&sortOrder=desc HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:53 +0200] "GET /camunda/api/cockpit/plugin/cockpitEE/static/app/modification/diagramPlugins/badges.html HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:53 +0200] "GET /camunda/api/cockpit/plugin/cockpitEE/static/app/modification/diagramPlugins/tools.html HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:53 +0200] "GET /camunda/api/cockpit/plugin/cockpitEE/static/app/skeleton/process-definition.html HTTP/1.1" 200 8438
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:53 +0200] "GET /camunda/api/engine/engine/default/process-definition/UserProcess:3:cd9db8be-8aa6-11e8-a0a0-acde48001122 HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:53 +0200] "GET /camunda/api/engine/engine/default/process-definition/UserProcess:3:cd9db8be-8aa6-11e8-a0a0-acde48001122/statistics?incidents=true HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:53 +0200] "POST /camunda/api/engine/engine/default/process-instance/count HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:53 +0200] "GET /camunda/api/engine/engine/default/process-definition?key=UserProcess&sortBy=version&sortOrder=desc&withoutTenantId=true HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:53 +0200] "POST /camunda/api/engine/engine/default/process-instance/count HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:53 +0200] "POST /camunda/api/cockpit/plugin/history/default/process-instance/count HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:39:53 +0200] "POST /camunda/api/cockpit/plugin/history/default/process-instance?firstResult=0&maxResults=50&sortBy=startTime&sortOrder=desc HTTP/1.1" 200 185
